id, x, y, theta, volume, gfp, rfp, yfp, cfp
111, -269.816986, -591.441223, 8.890762, 3.107800, 0, 155, 0, 0
112, 107.742599, -227.872192, 11.499016, 3.467105, 173, 0, 0, 0
113, -450.247345, -199.156250, 10.398567, 3.395962, 169, 0, 0, 0
114, 392.417389, 498.338837, 7.764020, 3.677849, 183, 0, 0, 0
115, -5.117655, 347.379456, 8.277678, 4.274869, 0, 213, 0, 0
116, -387.243652, 138.654770, 8.985638, 3.254945, 162, 0, 0, 0
117, 129.245331, 45.199524, 12.889035, 3.508723, 0, 175, 0, 0
118, 385.019073, -182.916702, 6.070861, 3.957911, 197, 0, 0, 0
119, -431.580200, 64.081245, 11.860032, 2.200906, 0, 110, 0, 0
120, 120.035484, -113.874451, 5.357225, 3.550074, 0, 177, 0, 0
121, -81.948112, 182.117935, 11.567248, 4.004695, 0, 200, 0, 0
122, -77.486061, -164.604706, 4.447161, 3.360077, 168, 0, 0, 0
123, 207.150040, 218.930954, 7.381405, 4.327218, 216, 0, 0, 0
124, 616.735291, 189.537354, 8.773396, 3.427352, 171, 0, 0, 0
125, -264.369629, 162.603958, 6.225815, 3.516538, 175, 0, 0, 0
126, 9.080972, -611.123230, 9.392597, 3.451864, 172, 0, 0, 0
127, 151.025650, -145.948700, 8.465848, 3.865155, 0, 193, 0, 0
128, 169.279434, 146.505844, 7.222239, 3.329903, 166, 0, 0, 0
129, 119.914520, -446.922638, 8.058087, 3.148704, 157, 0, 0, 0
130, -111.203629, 517.047241, 7.937600, 3.072857, 0, 153, 0, 0
131, -43.443249, -29.033651, 6.891558, 3.164711, 158, 0, 0, 0
132, -14.318478, 588.982178, 11.109024, 3.338090, 166, 0, 0, 0
133, 256.269012, -378.602570, 8.371763, 2.827758, 0, 141, 0, 0
134, 406.912262, 12.804037, 9.937525, 3.190814, 159, 0, 0, 0
135, 458.990204, 285.429840, 6.747257, 3.189158, 159, 0, 0, 0
136, -541.152832, -204.083588, 12.062641, 2.278317, 113, 0, 0, 0
137, 394.502594, 290.870270, 7.577270, 3.131022, 156, 0, 0, 0
138, -465.990082, 291.806610, 10.128048, 3.321840, 0, 166, 0, 0
139, 278.737335, 602.572083, 12.078453, 3.010444, 150, 0, 0, 0
140, 558.069031, -60.339413, 8.910952, 3.126606, 156, 0, 0, 0
141, -404.459137, 27.874525, 11.860354, 2.275862, 0, 113, 0, 0
142, 204.664520, 471.051514, 10.037758, 3.862857, 193, 0, 0, 0
143, 533.360718, 147.589539, 12.201747, 3.724057, 186, 0, 0, 0
144, 84.657516, 398.349640, 7.601234, 3.141805, 0, 157, 0, 0
145, 243.194183, -572.477051, 12.299141, 2.769271, 0, 138, 0, 0
146, 301.272156, -418.756683, 8.934467, 2.815612, 0, 140, 0, 0
147, -486.032806, 322.946716, 5.470263, 3.458925, 172, 0, 0, 0
148, -312.198151, 390.256866, 11.060812, 3.073199, 153, 0, 0, 0
149, 369.536896, -308.936951, 5.721492, 3.209457, 160, 0, 0, 0
150, 16.772669, 309.555176, 7.963574, 3.642853, 182, 0, 0, 0
151, 551.573853, -235.955215, 11.248745, 3.975657, 198, 0, 0, 0
152, 21.176565, -174.544632, 11.034607, 3.852626, 192, 0, 0, 0
153, -325.104675, -505.017792, 7.625871, 2.251916, 0, 112, 0, 0
154, -46.073643, -189.392914, 4.364994, 3.352605, 0, 167, 0, 0
155, -61.933441, 128.920929, 14.667432, 2.865392, 0, 143, 0, 0
156, 43.670166, -96.330536, 11.524049, 3.245173, 162, 0, 0, 0
157, 451.448456, 6.651698, 9.539857, 2.824885, 0, 141, 0, 0
158, -316.048676, -410.370911, 6.955647, 2.678464, 0, 133, 0, 0
159, -210.553589, 106.442810, 9.092873, 2.699742, 134, 0, 0, 0
160, -168.570633, 368.883240, 5.808185, 2.825934, 0, 141, 0, 0
161, -155.124344, 74.089348, 8.921375, 3.513078, 0, 175, 0, 0
162, -1.580344, -287.510071, 8.208408, 2.968287, 148, 0, 0, 0
163, 92.477875, 287.372681, 7.641313, 2.830802, 0, 141, 0, 0
164, -201.778839, -136.383102, 6.821521, 2.554829, 127, 0, 0, 0
165, 77.579697, 60.990646, 7.140272, 3.002221, 0, 150, 0, 0
166, -525.050415, -241.119171, 9.651030, 3.397584, 169, 0, 0, 0
167, -392.491302, -111.854004, 9.862436, 3.524118, 176, 0, 0, 0
168, -306.577850, -427.957764, 6.984166, 2.382864, 0, 119, 0, 0
169, -214.456451, 601.675842, 13.612583, 2.634858, 0, 131, 0, 0
170, -275.625397, -8.521201, 6.259955, 2.957076, 0, 147, 0, 0
171, -40.090298, 78.496140, 7.985039, 2.258363, 0, 112, 0, 0
172, -424.531128, -400.631989, 8.331335, 3.468355, 173, 0, 0, 0
173, 337.818420, -139.314453, 9.067661, 3.160896, 0, 158, 0, 0
174, 421.997742, -377.433929, 8.098591, 3.361863, 0, 168, 0, 0
175, -355.323303, 413.599274, 11.271795, 3.680631, 184, 0, 0, 0
176, 335.398071, 482.056580, 6.961971, 3.420643, 171, 0, 0, 0
177, 415.035095, -72.051483, 12.328395, 2.783557, 139, 0, 0, 0
178, 508.959290, 112.858795, 9.749359, 3.051913, 152, 0, 0, 0
179, -260.108032, 488.066681, 7.991542, 3.926330, 0, 196, 0, 0
180, -243.408340, 391.050964, 7.873950, 4.532422, 226, 0, 0, 0
181, -146.337234, -592.001465, 10.725666, 2.600812, 130, 0, 0, 0
182, -489.221344, -331.448975, 7.544182, 2.810258, 0, 140, 0, 0
183, -321.720337, 330.938263, 8.848008, 2.753460, 0, 137, 0, 0
184, -102.594879, 6.486962, 6.367375, 2.869433, 143, 0, 0, 0
185, 66.287277, -251.057632, 5.142787, 3.028604, 0, 151, 0, 0
186, -580.785156, 122.973534, 8.931796, 2.671163, 133, 0, 0, 0
187, -394.447296, 268.804596, 9.379927, 3.662907, 183, 0, 0, 0
188, 340.932953, -68.240784, 5.940591, 2.665227, 0, 133, 0, 0
189, 153.071136, -95.474159, 8.682620, 2.748424, 0, 137, 0, 0
190, 433.383148, 380.002960, 6.909746, 2.582876, 129, 0, 0, 0
191, 382.932739, 119.645241, 9.487852, 2.797633, 139, 0, 0, 0
192, 522.303162, 4.074329, 6.653703, 4.383683, 219, 0, 0, 0
193, 73.582626, 394.087463, 7.582819, 3.413949, 170, 0, 0, 0
194, 480.625519, -58.412334, 12.711141, 4.362583, 0, 218, 0, 0
195, 42.182293, -513.222168, 10.513587, 4.279377, 213, 0, 0, 0
196, 39.747906, 532.364441, 7.047664, 4.404812, 220, 0, 0, 0
197, 103.229408, 137.101562, 7.367139, 3.609836, 0, 180, 0, 0
198, -150.092438, -521.795105, 4.520364, 3.998605, 199, 0, 0, 0
199, 290.852814, 444.519043, 9.827977, 4.309805, 215, 0, 0, 0
200, 292.330048, 384.127228, 7.629946, 3.736998, 0, 186, 0, 0
201, -587.726257, -282.444519, 9.931166, 3.868859, 0, 193, 0, 0
202, -166.896988, -117.670998, 6.707436, 3.702414, 0, 185, 0, 0
203, 108.937256, -542.679138, 7.851219, 3.527744, 176, 0, 0, 0
204, -148.512711, -52.875477, 10.116014, 3.656845, 182, 0, 0, 0
205, -419.386047, -279.113678, 6.765996, 3.862014, 193, 0, 0, 0
206, 338.531830, -172.855515, 8.976080, 3.918902, 195, 0, 0, 0
207, -131.401703, -263.828430, 4.547454, 3.439271, 0, 171, 0, 0
208, -452.653320, -25.892849, 9.173831, 2.387712, 0, 119, 0, 0
209, 160.176559, -254.999542, 8.639565, 3.659077, 182, 0, 0, 0
210, -304.887115, -547.584045, 7.615946, 3.461707, 173, 0, 0, 0
211, 21.600424, 267.211090, 7.625136, 3.607576, 180, 0, 0, 0
212, -341.593353, 210.471329, 7.970192, 3.785681, 0, 189, 0, 0
213, -105.788292, 465.010376, 7.603407, 3.584118, 0, 179, 0, 0
214, -587.547302, 45.043819, 9.342695, 3.068250, 0, 153, 0, 0
215, -545.424500, -44.774765, 6.648840, 4.021318, 0, 201, 0, 0
216, 638.046204, 14.326369, 11.825704, 3.249829, 162, 0, 0, 0
217, 263.948303, -318.690552, 8.397919, 3.681362, 184, 0, 0, 0
218, 243.162445, 87.205223, 12.690245, 2.515626, 0, 125, 0, 0
219, -34.330170, -375.862244, 7.891332, 4.560445, 228, 0, 0, 0
220, 188.519424, -228.304291, 8.648103, 4.273223, 0, 213, 0, 0
221, 382.456665, 403.007538, 10.419147, 3.290833, 164, 0, 0, 0
222, 176.579285, 23.949902, 12.526769, 4.110190, 0, 205, 0, 0
223, -75.997597, 578.179199, 7.680280, 4.433228, 0, 221, 0, 0
224, -606.360596, -130.085709, 6.326761, 3.886914, 0, 194, 0, 0
225, -43.630863, -485.030182, 10.570749, 3.700144, 0, 185, 0, 0
226, -412.684235, 223.281113, 5.893437, 3.560536, 178, 0, 0, 0
227, 139.095703, 183.259766, 10.714914, 3.578972, 0, 178, 0, 0
228, -562.396240, -147.003418, 9.500440, 3.756544, 0, 187, 0, 0
229, -5.393393, -229.795807, 7.925449, 3.263670, 163, 0, 0, 0
230, 274.008209, 141.191025, 9.580141, 3.631777, 0, 181, 0, 0
231, 144.903183, 400.890015, 10.671903, 3.291944, 164, 0, 0, 0
232, -104.933914, -387.602814, 5.003082, 3.118458, 0, 155, 0, 0
233, -281.220581, -125.589813, 9.974032, 2.533516, 126, 0, 0, 0
234, -68.448975, 232.233429, 8.518326, 2.974725, 0, 148, 0, 0
235, 461.328766, 398.192749, 7.332279, 3.184593, 159, 0, 0, 0
236, -5.013991, 552.466614, 10.294693, 3.694207, 184, 0, 0, 0
237, 111.322960, 332.238037, 10.849873, 4.252859, 0, 212, 0, 0
238, 542.083130, 253.713608, 6.421590, 2.495814, 124, 0, 0, 0
239, 592.547913, -209.933762, 11.705417, 3.272138, 163, 0, 0, 0
240, -591.394836, 3.757220, 9.047535, 3.373256, 168, 0, 0, 0
241, -13.973651, -135.728912, 10.839375, 3.473700, 173, 0, 0, 0
242, 309.477692, -480.926270, 8.173063, 3.092836, 154, 0, 0, 0
243, -306.353821, 442.814209, 11.124601, 2.956390, 147, 0, 0, 0
244, -294.302063, -157.749802, 10.056153, 4.240000, 0, 211, 0, 0
245, -196.831879, -279.598511, 7.762441, 4.289064, 0, 214, 0, 0
246, 372.787994, 182.512466, 6.814421, 3.504573, 0, 175, 0, 0
247, 123.546898, -104.615410, 5.412817, 3.929261, 196, 0, 0, 0
248, -72.361099, -77.921265, 6.835351, 4.322837, 0, 216, 0, 0
249, -148.485947, 28.689356, 9.062594, 4.545529, 227, 0, 0, 0
250, 145.302216, 170.028549, 4.452526, 3.643566, 182, 0, 0, 0
251, -89.794319, 487.977112, 7.578653, 2.357974, 118, 0, 0, 0
252, -347.177368, 75.249588, 5.907615, 3.421623, 0, 171, 0, 0
253, 200.327759, -462.391449, 11.249414, 3.168705, 0, 158, 0, 0
254, 623.471558, 107.776764, 14.519519, 3.991372, 199, 0, 0, 0
255, 290.927917, -162.744568, 9.179299, 3.571579, 178, 0, 0, 0
256, -239.014481, -518.803467, 6.765531, 3.502548, 175, 0, 0, 0
257, 226.070480, -212.037170, 8.640231, 3.906235, 195, 0, 0, 0
258, -178.396332, -284.210358, 7.750782, 3.747652, 0, 187, 0, 0
259, 118.645599, -550.756958, 7.842412, 4.057345, 202, 0, 0, 0
260, 398.185822, -111.274490, 6.310968, 3.031458, 0, 151, 0, 0
261, 85.985718, 578.063416, 7.737679, 3.765147, 188, 0, 0, 0
262, 205.112869, -438.352753, 11.193185, 3.864849, 193, 0, 0, 0
263, -451.270660, -324.156097, 9.819133, 3.799466, 189, 0, 0, 0
264, -418.573547, -156.110184, 9.405890, 3.387200, 0, 169, 0, 0
265, -237.273056, -308.782318, 7.799898, 3.102297, 0, 155, 0, 0
266, -187.785599, -283.927460, 7.782249, 3.846138, 192, 0, 0, 0
267, 153.613174, 95.053169, 6.930682, 3.488757, 174, 0, 0, 0
268, 365.298157, -427.877533, 9.179475, 3.041654, 0, 152, 0, 0
269, 505.385406, 221.421188, 9.434991, 2.638277, 0, 131, 0, 0
270, -148.521927, 19.275164, 9.117131, 3.664178, 0, 183, 0, 0
271, 18.228973, -648.348267, 10.292030, 3.595031, 0, 179, 0, 0
272, 56.709976, -99.887421, 8.378666, 3.400293, 0, 170, 0, 0
273, 381.562378, 44.810310, 9.884851, 3.955416, 0, 197, 0, 0
274, -198.172104, 449.194031, 5.151191, 3.337440, 166, 0, 0, 0
275, 326.156311, 525.612427, 6.996914, 2.468267, 123, 0, 0, 0
276, 585.364380, 178.794403, 11.081429, 3.604774, 180, 0, 0, 0
277, 493.410919, -450.343109, 7.911192, 3.045989, 0, 152, 0, 0
278, 550.660400, -205.957977, 8.548198, 2.734963, 0, 136, 0, 0
279, -194.348663, 194.352737, 8.754855, 4.024557, 201, 0, 0, 0
280, -346.394287, -396.217987, 6.998103, 4.012310, 200, 0, 0, 0
281, -240.884796, -248.274582, 7.122379, 2.902789, 145, 0, 0, 0
282, -182.673996, -425.261017, 7.352674, 3.721993, 186, 0, 0, 0
283, 18.002375, 48.671936, 13.783077, 3.000290, 150, 0, 0, 0
284, -352.877380, 326.237854, 9.468637, 3.894792, 194, 0, 0, 0
285, 387.640320, -272.552734, 5.561192, 2.793720, 0, 139, 0, 0
286, -294.262848, 4.567916, 12.319927, 3.312006, 0, 165, 0, 0
287, 201.552155, 577.426941, 7.953065, 4.350821, 217, 0, 0, 0
288, 57.431885, -340.984528, 11.112851, 2.944252, 147, 0, 0, 0
289, 53.547607, 281.516754, 7.634538, 3.359816, 0, 167, 0, 0
290, -49.722687, 254.954956, 4.788556, 3.630498, 181, 0, 0, 0
291, -123.818336, 385.858978, 8.627643, 3.520066, 176, 0, 0, 0
292, -375.709076, 286.718994, 9.319061, 2.790030, 139, 0, 0, 0
293, -339.510986, 51.563332, 5.878700, 3.147250, 157, 0, 0, 0
